post_code,post_name,post_address,commune_id,commune_name,daira_name,wilaya_code,wilaya_name
04003,Oum El Bouaghi H Boumediene,Nouvelle Ville Makomadas,112,Oum El Bouaghi,Oum El Bouaghi,04,Oum El Bouaghi
04004,Meskiana,Rue Du 1er Novembre,107,Meskiana,Meskiana,04,Oum El Bouaghi
04005,Ain Fakroun,Rue Radjai Ammar,91,Ain Fekroun,Ain Fekroun,04,Oum El Bouaghi
04006,Ain Kercha,Rue Draga Maouche,92,Ain Kercha,Ain Kercha,04,Oum El Bouaghi
04007,Ain Beida Laazabi,Cité Lazabi,89,Ain Beida,Ain Beida,04,Oum El Bouaghi
04008,Dhalaa,Rue Du 1er Novembre,98,Dhalaa,Dhalaa,04,Oum El Bouaghi
04009,Oum El Bouaghi An Nasr,Cité An Nasr,112,Oum El Bouaghi,Oum El Bouaghi,04,Oum El Bouaghi
04010,Souk Naamane,Rue Ben Boulaid,115,Souk Naamane,Souk Naamane,04,Oum El Bouaghi
04011,Sigus,Rue Du 1er Novembre,114,Sigus,Sigus,04,Oum El Bouaghi
04012,Henchir Toumghani,Rue De L'Independance,105,Hanchir Toumghani,Ain Kercha,04,Oum El Bouaghi
04013,F'Kirina,Route Nationale Nâ°10,104,Fkirina,F'kirina,04,Oum El Bouaghi
04014,Ain M'Lila Gouadjlia,Route Nationale Nâ°10,93,Ain M'lila,Ain M'lila,04,Oum El Bouaghi
04016,Ain Fakroun Satha,Cité Satha,91,Ain Fekroun,Ain Fekroun,04,Oum El Bouaghi
04017,Ain M'Lila Ben M'Hidi,Rue Du 1er Novembre,93,Ain M'lila,Ain M'lila,04,Oum El Bouaghi
04018,Ksar Sbahi,Cité El Boustane,106,Ksar Sbahi,Ksar Sbahi,04,Oum El Bouaghi
04019,Ouled Hamla,Rue Nationale,110,Ouled Hamla,Ain M'lila,04,Oum El Bouaghi
04020,Ain Babouche,Route De Batna,88,Ain Babouche,Ain Babouche,04,Oum El Bouaghi
04021,Bir Chouhada,Rue Du 1er Novembre 54,97,Bir Chouhada,Souk Naamane,04,Oum El Bouaghi
